yahoo_ticker;name
ADS.DE;Adidas AG
AIR.PA;Airbus SE
ALV.DE;Allianz SE
BAS.DE;BASF SE
BAYN.DE;Bayer AG
BEI.DE;Beiersdorf AG
BMW.DE;BMW AG
BNR.DE;Brenntag SE
CBK.DE;Commerzbank AG
CON.DE;Continental AG
DTG.DE;Daimler Truck Holding AG
DBK.DE;Deutsche Bank AG
DB1.DE;Deutsche Börse AG
DHL.DE;Deutsche Post AG
DTE.DE;Deutsche Telekom AG
EOAN.DE;E.ON SE
FME.DE;Fresenius Medical Care AG & Co. KGaA
FRE.DE;Fresenius SE & Co. KGaA
G1A.DE;GEA Group Aktiengesellschaft
HNR1.DE;Hannover Rück SE
HEI.DE;Heidelberg Materials AG
HEN3.DE;Henkel AG & Co. KGaA
IFX.DE;Infineon Technologies AG
MBG.DE;Mercedes-Benz Group AG
MRK.DE;Merck KGaA
MTX.DE;MTU Aero Engines AG
MUV2.DE;Münchener Rückversicherungs-Gesellschaft AG
PAH3.DE;Porsche Automobil Holding SE
P911.DE;Porsche AG
QGEN.DE;Qiagen N.V.
RHM.DE;Rheinmetall AG
RWE.DE;RWE AG
SAP.DE;SAP SE
SIE.DE;Siemens AG
ENR.DE;Siemens Energy AG
SHL.DE;Siemens Healthineers AG
SY1.DE;Symrise AG
VOW3.DE;Volkswagen AG
VNA.DE;Vonovia SE
ZAL.DE;Zalando SE
