yahoo_ticker;name
A2A.MI;A2A
AMP.MI;Amplifon
AVIO.MI;Avio
AZM.MI;Azimut
BMED.MI;Banca Mediolanum
BMPS.MI;Banca Monte Paschi Siena
BAMI.MI;Banco Bpm
BPE.MI;Bper Banca
BC.MI;Brunello Cucinelli
BZU.MI;Buzzi
CPR.MI;Campari
DIA.MI;Diasorin
ENEL.MI;Enel
ENI.MI;Eni
RACE.MI;Ferrari
FCT.MI;Fincantieri
FBK.MI;Finecobank
G.MI;Generali
HER.MI;Hera
ISP.MI;Intesa Sanpaolo
INW.MI;Inwit
IG.MI;Italgas
IVG.MI;Iveco Group
LDO.MI;Leonardo
LTMC.MI;Lottomatica Group
MB.MI;Mediobanca
MONC.MI;Moncler
NEXI.MI;Nexi
PST.MI;Poste Italiane
PRY.MI;Prysmian
REC.MI;Recordati Ord
SPM.MI;Saipem
SRG.MI;Snam
STLAM.MI;Stellantis
STMMI.MI;Stmicroelectronics
TIT.MI;Telecom Italia
TEN.MI;Tenaris
TRN.MI;Terna
UCG.MI;Unicredit
UNI.MI;Unipol
